,titles,rates,reviews,review_id
14650,외계+인 1부,8,이집 짬뽕맛 특이하네.. ,paul****
14651,토르: 러브 앤 썬더,7,기대감에 비해 그저 그랬음 ,paul****
14652,헤어질 결심,7,"어떤 사랑은 슬픔이 파도처럼 밀려오고,어떤 사랑은 슬픔이 잉크처럼 천천히 번져 붕괴시킨다. ",paul****
14653,탑건: 매버릭,9,톰 크루즈가 왜 최고의 스타인지 이유가 되는 영화 ,paul****
14654,마녀(魔女) Part2. The Other One,8,개연성은 좀 부족하지만 액션이 1편에 비해 나아진듯 ,paul****
14655,아델라인 : 멈춰진 시간,6,뭔소리야 말 같지도 않은 소리 하고있어 ,paul****
14656,쥬라기 월드: 도미니언,7,어릴적 좋아했던 시리즈의 마지막 ,paul****
14657,007 노 타임 투 다이,7,초반만 흥미진진했다. ,paul****
14658,범죄도시2,8,중간중간 웃기고 타격감 시원하고 ,paul****
14659,모비우스,5,매력없는 히어로물이다. ,paul****
14660,신비한 동물들과 덤블도어의 비밀,7,해리포터 시리즈에 비해 턱없이 부족하다. ,paul****
14661,토르: 러브 앤 썬더,7,기대감에 비해 그저 그랬음 ,paul****
14662,헤어질 결심,7,"어떤 사랑은 슬픔이 파도처럼 밀려오고,어떤 사랑은 슬픔이 잉크처럼 천천히 번져 붕괴시킨다. ",paul****
14663,탑건: 매버릭,9,톰 크루즈가 왜 최고의 스타인지 이유가 되는 영화 ,paul****
14664,마녀(魔女) Part2. The Other One,8,개연성은 좀 부족하지만 액션이 1편에 비해 나아진듯 ,paul****
14665,아델라인 : 멈춰진 시간,6,뭔소리야 말 같지도 않은 소리 하고있어 ,paul****
14666,쥬라기 월드: 도미니언,7,어릴적 좋아했던 시리즈의 마지막 ,paul****
14667,007 노 타임 투 다이,7,초반만 흥미진진했다. ,paul****
14668,범죄도시2,8,중간중간 웃기고 타격감 시원하고 ,lady****
14669,모비우스,5,매력없는 히어로물이다. ,lady****
14670,신비한 동물들과 덤블도어의 비밀,7,해리포터 시리즈에 비해 턱없이 부족하다. ,lady****
14671,늑대사냥,10,일단 확실한건 잔인함이 너무 심함 .그치만 나는 재미있게봄 ,lady****
14672,헤어질 결심,10,"이번해 제가본 최신영화중 단연1위 영화입니다영상미, 스토리, 연기, 촬영기법, 배경사운드까지 완벽한 영화에요~~~박찬욱감독님..역시 거장의 영화는 결이 다르고..마지막 장면까지도 자리에서 못일어나게 만드네요 ",lady****
14673,공조2: 인터내셔날,10,"공조1을 못봤다가 공조2보고 넘나 재밌어서, 집에와서 1편도 다운받아서 봤어요~역시 울신랑 말데로 1편도 재밌지만 2편은 더 업그레이드된 영화네요, 코믹과 액션 둘다 잡은 영화에요~~강추함댜 ",lady****
14674,리미트,2,정말 뻔한 스토리.... 관객수 작아도 평점이 높아서 봤다가 큰코 다침.ㅡ ㅡ 긴장감도 없고 스토리전개도 흔해서 홈비디오용 영화임...앞으론 평점에 안속아야지 ,paul****
14675,"힘을 내요, 미스터 리",10,정말 감동깊으면서도 웃음코드도 신선한 영화였습니다 차승원이란 배우가 연기파 배우였단걸 다시한번더 실감한 영화였어요 머리때리며 우는 차승원의 연기에 소름끼침 ,paul****
14676,엑시트,10,정말 웃기고 감동깊은영화~조정석을 위한 조정석에 의한 조정석의 영화였다시나리오도 탄탄하고 편집도 지루할틈없이 잘만들어진  영화였다 ,paul****
14677,마녀,9,갈수록 한국영화가 무서운속도로 발전하는듯~~김다미와 최우식~~OOO기력 일품이다!멋진영화~~!2편 빨리나오길~ ,paul****
14678,아가씨,10,역시 박찬욱감독입니다 저는 2016년 최고의영화로 뽑습니다 한국에 나오기어려운 감독과 배우들 ~ 김민희 정말 매력적임 ,paul****
